title,desc,title+desc,area
promote efficient solutions with the ecological environment that promote the quality of urban habitat and in turn support the management of climate change in the municipality of manizales.,"although, all the actions that have been carried out in terms of green infrastructure are not innovative in product, as they are a replica of other national and international bets, if they turn out to be innovative for the city in their implementation. for example, in some of the parks delivered so far in the city in the network of green parks, the energy transition is being implemented taking advantage of the resources available in the environment as renewable energies, an idea that has been promoted in different capital cities of the country. manizales en bici was one of the first public bicycle systems in the city, marking an important differential, since the service is provided free of charge. urban gardens are a strategy implemented since 2020, which to date have 24 orchards, which bets on the reactivation of public spaces, helps food security, and contributes to the processing of organic waste.","promote efficient solutions with the ecological environment that promote the quality of urban habitat and in turn support the management of climate change in the municipality of manizales.. although, all the actions that have been carried out in terms of green infrastructure are not innovative in product, as they are a replica of other national and international bets, if they turn out to be innovative for the city in their implementation. for example, in some of the parks delivered so far in the city in the network of green parks, the energy transition is being implemented taking advantage of the resources available in the environment as renewable energies, an idea that has been promoted in different capital cities of the country. manizales en bici was one of the first public bicycle systems in the city, marking an important differential, since the service is provided free of charge. urban gardens are a strategy implemented since 2020, which to date have 24 orchards, which bets on the reactivation of public spaces, helps food security, and contributes to the processing of organic waste.",other
use of organic waste (composting),"reduction of gel emissions associated with waste from the city of neiva.-promote the efforts currently carried out by the company responsible for managing neiva waste, to position composting as a preferred management system and easy implementation for the recovery of the organic fraction of the waste.-compost is a substitute for artificial nitrogen fertilizers,  so it indirectly helps reduce emissions from agriculture associated with the generation of n20 by use of this type of fertilizer. it is proposed in the first years to implement a separation at source in a time horizon of 10 years, starting in 2020, composting 400 tons per year with waste from gardens, pruning, parks and green areas and even from the organic fraction collected in large markets, until reaching, progressively, 4,000 tons.-in parallel, measures will be adopted to ensure the existence of a market for compost that makes it profitable.-in the long term,  when there is already an infrastructure for the collection of the household organic fraction and for the sale of compost, a large-scale composting plant will be developed, with the capacity to treat 40,000 tons per year, which also treats the rest of the biodegradable fraction of the waste generated. this plant will be designed based on lessons learned in the pilot plant.","use of organic waste (composting). reduction of gel emissions associated with waste from the city of neiva.-promote the efforts currently carried out by the company responsible for managing neiva waste, to position composting as a preferred management system and easy implementation for the recovery of the organic fraction of the waste.-compost is a substitute for artificial nitrogen fertilizers,  so it indirectly helps reduce emissions from agriculture associated with the generation of n20 by use of this type of fertilizer. it is proposed in the first years to implement a separation at source in a time horizon of 10 years, starting in 2020, composting 400 tons per year with waste from gardens, pruning, parks and green areas and even from the organic fraction collected in large markets, until reaching, progressively, 4,000 tons.-in parallel, measures will be adopted to ensure the existence of a market for compost that makes it profitable.-in the long term,  when there is already an infrastructure for the collection of the household organic fraction and for the sale of compost, a large-scale composting plant will be developed, with the capacity to treat 40,000 tons per year, which also treats the rest of the biodegradable fraction of the waste generated. this plant will be designed based on lessons learned in the pilot plant.",waste management
energy use at the los angeles landfill,"in the municipality of neiva, a per capita production of waste in 2014 of 0.2260 tons/inhabitant is estimated. i00% of the waste generated in the urban area is taken to the los angeles landfill. through this action, a correct system of extraction of the biogas generated in the landfill will be implemented. currently a passive extraction is carried out with a subsequent combustion without energy use in an aritorcha. however, better management and energy use of the biogas generated can be achieved. to this end, an active collection is proposed through wells and catchment ducts, and its transformation into electrical energy through motoralternator groups. in this way, it will go from a collection of 30% to a capture of 65%. this action reduces emissions through two different mechanisms: 1. reduction associated with the reduction of eol emissions by generating waste in the study area, 2. reduction of emissions associated with the replacement of electricity from the grid, by clean electricity generated in the engines. it is estimated that in 2050 5.9 mw could be obtained. a small part of this electricity production would go to self-consumption (about 7%), and the rest would be connected to the grid by replacing the electricity from the grid with clean energy generated in the engines.","energy use at the los angeles landfill. in the municipality of neiva, a per capita production of waste in 2014 of 0.2260 tons/inhabitant is estimated. i00% of the waste generated in the urban area is taken to the los angeles landfill. through this action, a correct system of extraction of the biogas generated in the landfill will be implemented. currently a passive extraction is carried out with a subsequent combustion without energy use in an aritorcha. however, better management and energy use of the biogas generated can be achieved. to this end, an active collection is proposed through wells and catchment ducts, and its transformation into electrical energy through motoralternator groups. in this way, it will go from a collection of 30% to a capture of 65%. this action reduces emissions through two different mechanisms: 1. reduction associated with the reduction of eol emissions by generating waste in the study area, 2. reduction of emissions associated with the replacement of electricity from the grid, by clean electricity generated in the engines. it is estimated that in 2050 5.9 mw could be obtained. a small part of this electricity production would go to self-consumption (about 7%), and the rest would be connected to the grid by replacing the electricity from the grid with clean energy generated in the engines.",waste management
environmental education and citizen awareness,"environmental awareness seeks that a user, aware of the environmental impact of their activities, apply sustainability criteria in their decisions. awareness-raising strategies must in any case be accompanied by other policies that try to reduce the gap between the rest of the conditions between products and services: making public transport or non-motorized means more accessible and attractive for the citizen, facilitating the means for recycling or partially subsidizing the most sustainable options. the result of awareness is a change in attitudes and habits that have a direct impact on the improvement of the environment, without detriment to economic development and social well-being. in addition, it promotes participatory democracy, by having a better informed population with a greater sense of co-responsibility in the management of the environment. in this case, seeking to influence the reduction of gel emissions, the main sectors on which to work awareness would be:1. energy mobile sources: an individual with equal awareness will tend to select the most sustainable mode of transport.2. energy stationary sources (specifically residential subsector): criteria for green purchase and efficient use of energy.3. waste: an individual aware will generate less garbage and will try to make and will even be able to take the variable in their decision-making, efficient use of water in their home, reducing with all this the emissions associated with waste. this project aims to stimulate awareness through the praes through two lines: training of monitors and provision of resources. in addition, it is contemplated to generate direct contacts between schoolchildren and environmental professionals. in this aspect, it is proposed to orient the work of practitioners towards this alternative. to do this, the mayor's office will organize, coordinate and assume the cost of their insurance policies.4. carrying out extracurricular activities that capture the attention of children by creating a network between neiva schools so that they carry out joint activities, such as competitions, exchanges of experiences and visits to environmental management facilities. the pncc's environmental education approach must be ensured.","environmental education and citizen awareness. environmental awareness seeks that a user, aware of the environmental impact of their activities, apply sustainability criteria in their decisions. awareness-raising strategies must in any case be accompanied by other policies that try to reduce the gap between the rest of the conditions between products and services: making public transport or non-motorized means more accessible and attractive for the citizen, facilitating the means for recycling or partially subsidizing the most sustainable options. the result of awareness is a change in attitudes and habits that have a direct impact on the improvement of the environment, without detriment to economic development and social well-being. in addition, it promotes participatory democracy, by having a better informed population with a greater sense of co-responsibility in the management of the environment. in this case, seeking to influence the reduction of gel emissions, the main sectors on which to work awareness would be:1. energy mobile sources: an individual with equal awareness will tend to select the most sustainable mode of transport.2. energy stationary sources (specifically residential subsector): criteria for green purchase and efficient use of energy.3. waste: an individual aware will generate less garbage and will try to make and will even be able to take the variable in their decision-making, efficient use of water in their home, reducing with all this the emissions associated with waste. this project aims to stimulate awareness through the praes through two lines: training of monitors and provision of resources. in addition, it is contemplated to generate direct contacts between schoolchildren and environmental professionals. in this aspect, it is proposed to orient the work of practitioners towards this alternative. to do this, the mayor's office will organize, coordinate and assume the cost of their insurance policies.4. carrying out extracurricular activities that capture the attention of children by creating a network between neiva schools so that they carry out joint activities, such as competitions, exchanges of experiences and visits to environmental management facilities. the pncc's environmental education approach must be ensured.",other
voluntary day without car and motorcycle,"any action to contribute to the environment generates positive impacts, which is why strategies are promoted from different sectors or guilds to improve the quality of life and guarantee the right to a healthier or healthier environment. from the ministry of environment and sustainable rural development, the coordination of activities framed to the fulfillment of the agreement 013 of 2015 was carried out, which aim to publicize the environmental noise conditions present in different sectors of the city of neiva, reduction of co2 emissions and through the vehicle count calculate the carbon footprint,  during the day of the day without car and motorcycle in the city. environmental noise and atmospheric emissions are monitored during the day.","voluntary day without car and motorcycle. any action to contribute to the environment generates positive impacts, which is why strategies are promoted from different sectors or guilds to improve the quality of life and guarantee the right to a healthier or healthier environment. from the ministry of environment and sustainable rural development, the coordination of activities framed to the fulfillment of the agreement 013 of 2015 was carried out, which aim to publicize the environmental noise conditions present in different sectors of the city of neiva, reduction of co2 emissions and through the vehicle count calculate the carbon footprint,  during the day of the day without car and motorcycle in the city. environmental noise and atmospheric emissions are monitored during the day.",transport
improvement of the bicycle path network,"the city of neiva for its size and topography presents key characteristics for the use of the bicycle, however, there is a lack of specific infrastructures for this means of transport. this action affects the need to have pleasant and comfortable infrastructure for this type of actors with the aim of removing the incentive to use motorized modes of transport. it is proposed to place the bicycle as a true option of articulated displacement to the urban transport system. the success of this measure lies in the continuity of its circuits, the ease, safety and ability to articulate to public transport. as for safety, it is necessary to create an adequate and articulated network of exclusive lanes, thus avoiding that the cyclist has to share the road with cars. for the bicycle to become a key element of mobility in the municipality, the network of bike lanes must favor intermodality. on the one hand, it must connect with the main infrastructures of collective public transport and on the other hand it must reach those destinations that attract an important number of workers and visitors, for which the needs of users, the location of activities and tourist sites, as well as the main educational centers and places of labor concentration will be taken into account. it is proposed to develop a network of bicycle routes accompanied by thermal comfort measures such as urban trees, progressively, until reaching 76.5 km in 2050. in addition, the implementation of a public bicycle system is being studied. it offers a low-price rental regime or free loan of bicycles in urban centers, promoted by the public administration and designed for everyday use.","improvement of the bicycle path network. the city of neiva for its size and topography presents key characteristics for the use of the bicycle, however, there is a lack of specific infrastructures for this means of transport. this action affects the need to have pleasant and comfortable infrastructure for this type of actors with the aim of removing the incentive to use motorized modes of transport. it is proposed to place the bicycle as a true option of articulated displacement to the urban transport system. the success of this measure lies in the continuity of its circuits, the ease, safety and ability to articulate to public transport. as for safety, it is necessary to create an adequate and articulated network of exclusive lanes, thus avoiding that the cyclist has to share the road with cars. for the bicycle to become a key element of mobility in the municipality, the network of bike lanes must favor intermodality. on the one hand, it must connect with the main infrastructures of collective public transport and on the other hand it must reach those destinations that attract an important number of workers and visitors, for which the needs of users, the location of activities and tourist sites, as well as the main educational centers and places of labor concentration will be taken into account. it is proposed to develop a network of bicycle routes accompanied by thermal comfort measures such as urban trees, progressively, until reaching 76.5 km in 2050. in addition, the implementation of a public bicycle system is being studied. it offers a low-price rental regime or free loan of bicycles in urban centers, promoted by the public administration and designed for everyday use.",transport
"improve the provision of collective public transport service in intermediate cities, in order to structure competitive, efficient and equitable cities, which allow citizens to have safe mobility opportunities under economic principles.","the strategic public transport service - setp has been developing the mobility master plan for neiva. this plan proposes the articulation between a set of actions, technically and financially viable, aimed at improving the mobility system of the city, guaranteeing equity, sustainability and improvement in the quality of life of the inhabitants. it is intended in this way to physically, operationally and farely integrate the collective public transport system, under the following scheme: [11system and control center of transit and transport information: essentially what is sought is a change in the traditional business scheme to one based on new technologies, in such a way that the operating systems allow greater control and better planning of the service. ilí unified collection system: the money collected is deposited in a fiduciary who is responsible for making the payment to the transport operators (trunks and feeders). fl reorganization of collective public transport: optimization of routes, adaptation of infrastructure to the new operating conditions of the collective public transport system and construction of interchange points in the center. it would go from a coverage of 67% of the urban area to 94%. the master plan contemplates diagnosing the mobility, urbanism, environmental, legal, socioeconomic and financial sectors. at this point, it is important to include as a proposal and within the public transport system the replacement and scrapping of buses that run on acpm fuels, or vehicles that operate with natural gas. this measure has a potential reduction of 82370 t coe.","improve the provision of collective public transport service in intermediate cities, in order to structure competitive, efficient and equitable cities, which allow citizens to have safe mobility opportunities under economic principles.. the strategic public transport service - setp has been developing the mobility master plan for neiva. this plan proposes the articulation between a set of actions, technically and financially viable, aimed at improving the mobility system of the city, guaranteeing equity, sustainability and improvement in the quality of life of the inhabitants. it is intended in this way to physically, operationally and farely integrate the collective public transport system, under the following scheme: [11system and control center of transit and transport information: essentially what is sought is a change in the traditional business scheme to one based on new technologies, in such a way that the operating systems allow greater control and better planning of the service. ilí unified collection system: the money collected is deposited in a fiduciary who is responsible for making the payment to the transport operators (trunks and feeders). fl reorganization of collective public transport: optimization of routes, adaptation of infrastructure to the new operating conditions of the collective public transport system and construction of interchange points in the center. it would go from a coverage of 67% of the urban area to 94%. the master plan contemplates diagnosing the mobility, urbanism, environmental, legal, socioeconomic and financial sectors. at this point, it is important to include as a proposal and within the public transport system the replacement and scrapping of buses that run on acpm fuels, or vehicles that operate with natural gas. this measure has a potential reduction of 82370 t coe.",transport
neiva wastewater treatment plant,"currently in the municipality of neiva no wastewater treatment plant operates, so the wastewater generated by the inhabitants of the study area is discharged into the magdalena river without having received any prior treatment. this situation generates an environmental problem due to pollution of the river systems to which the wastewater discharges arrive, without prior treatment. this action is in line with the ""sanitation and dumping management plan"" of the neiva aqueduct and sewerage company - las ceibas, concessionaire of the service, and the neiva development plan 2016-2019. in this last document it is planned to have two wastewater treatment plants (wwtp) by 2019, one in the santander bridge with an approximate coverage of 86% of the wastewater of neiva where two collectors are connected and the second in the discharge site of the el venado collector in the non-magdalena. however, before building the wwtp, the footrests must concentrate on the collection of wastewater, expanding the coverage and transporting it through the interconnection of the different collectors that discharge. after ensuring that adequate collection is available, the coverage of the treatment will be progressively increased, with the objective that by 2050 i00% of the wastewater generated in the urban area will be treated. on the other hand, the discharge of the treated water will be carried out in the magdalena river, which has a great capacity for dilution and self-purification due to its hydraulic conditions and flow. in parallel, additional stupidities will be carried out to control informal settlements, since people must be prevented from settling in areas without a sanitation connection, which would cause that, after the construction of the wwtp, it is again poured directly into the channel.","neiva wastewater treatment plant. currently in the municipality of neiva no wastewater treatment plant operates, so the wastewater generated by the inhabitants of the study area is discharged into the magdalena river without having received any prior treatment. this situation generates an environmental problem due to pollution of the river systems to which the wastewater discharges arrive, without prior treatment. this action is in line with the ""sanitation and dumping management plan"" of the neiva aqueduct and sewerage company - las ceibas, concessionaire of the service, and the neiva development plan 2016-2019. in this last document it is planned to have two wastewater treatment plants (wwtp) by 2019, one in the santander bridge with an approximate coverage of 86% of the wastewater of neiva where two collectors are connected and the second in the discharge site of the el venado collector in the non-magdalena. however, before building the wwtp, the footrests must concentrate on the collection of wastewater, expanding the coverage and transporting it through the interconnection of the different collectors that discharge. after ensuring that adequate collection is available, the coverage of the treatment will be progressively increased, with the objective that by 2050 i00% of the wastewater generated in the urban area will be treated. on the other hand, the discharge of the treated water will be carried out in the magdalena river, which has a great capacity for dilution and self-purification due to its hydraulic conditions and flow. in parallel, additional stupidities will be carried out to control informal settlements, since people must be prevented from settling in areas without a sanitation connection, which would cause that, after the construction of the wwtp, it is again poured directly into the channel.",water management
promote agroforestry and silvopastoral practices,"it is proposed that in the area of remaining pastures a silvopastoral system be established, using trees from the tropical dry forest ecosystem, or adapted, such as the leucaena. agroforestry and silvopastoral systems combine trees with improved grasses, and increase the beneficial effects generated by interactions between tree and shrub species, pastures and animals, stimulating nutrient cycling and improving soil conditions. in this sense, the reforestation of 3,000 ha by 2050 is proposed. these systems represent a management alternative for traditional livestock, as they allow the animal to be provided with a greater variety in its diet and a better forage offer. likewise, these systems are the opportunity to improve productive yields, but guaranteeing the conservation of the environment and reducing the environmental impact of livestock. the risks and erosive effects of natural phenomena such as drought or excess rainfall are also reduced, since there is greater water retention as organic matter increases and evapotranspiration decreases. therefore, this measure is itself a measure of adaptation to climate change. in addition, they allow to obtain income that transforms the traditional livestock activity by complementing it with others such as forestry. in this way, it is contemplated to obtain firewood for residential consumption, which will reduce the felling of natural forests. from the point of view of climate change mitigation, agroforestry and silvopastoral systems are interesting for their ability to fix carbon in the biomass of trees and crops planted.","promote agroforestry and silvopastoral practices. it is proposed that in the area of remaining pastures a silvopastoral system be established, using trees from the tropical dry forest ecosystem, or adapted, such as the leucaena. agroforestry and silvopastoral systems combine trees with improved grasses, and increase the beneficial effects generated by interactions between tree and shrub species, pastures and animals, stimulating nutrient cycling and improving soil conditions. in this sense, the reforestation of 3,000 ha by 2050 is proposed. these systems represent a management alternative for traditional livestock, as they allow the animal to be provided with a greater variety in its diet and a better forage offer. likewise, these systems are the opportunity to improve productive yields, but guaranteeing the conservation of the environment and reducing the environmental impact of livestock. the risks and erosive effects of natural phenomena such as drought or excess rainfall are also reduced, since there is greater water retention as organic matter increases and evapotranspiration decreases. therefore, this measure is itself a measure of adaptation to climate change. in addition, they allow to obtain income that transforms the traditional livestock activity by complementing it with others such as forestry. in this way, it is contemplated to obtain firewood for residential consumption, which will reduce the felling of natural forests. from the point of view of climate change mitigation, agroforestry and silvopastoral systems are interesting for their ability to fix carbon in the biomass of trees and crops planted.",other
solar kiosk in educational institutions in rural and urban areas,"exemplifying the reduction of ghg emissions by reducing the energy consumption of government institutions.-the implementation of rehabilitation measures with a focus on energy efficiency and renewable energies in public buildings is a good start for the reduction of the carbon footprint in this sector.  -awareness of the population in terms of energy efficiency.-eco-efficiency measures promoted by law 1715/2014. it is proposed to apply different energy efficiency measures (reflective paint and insulation of the roofs and external walls of the buildings, fans in the rooms, efficient lighting, etc.) and photovoltaic solar energy in the institutional buildings. -to reduce the energy consumption of institutional buildings, progress will be made in three directions: 1. active strategies for the production of renewable energy2. active strategies with high efficiency installations3. passive strategies to generate energy savingsthe installation of 87 kiosks with solar panels is proposed, covering 66 educational venues in the rural area and 20 institutions in the urban area and an installation in public space.","solar kiosk in educational institutions in rural and urban areas. exemplifying the reduction of ghg emissions by reducing the energy consumption of government institutions.-the implementation of rehabilitation measures with a focus on energy efficiency and renewable energies in public buildings is a good start for the reduction of the carbon footprint in this sector.  -awareness of the population in terms of energy efficiency.-eco-efficiency measures promoted by law 1715/2014. it is proposed to apply different energy efficiency measures (reflective paint and insulation of the roofs and external walls of the buildings, fans in the rooms, efficient lighting, etc.) and photovoltaic solar energy in the institutional buildings. -to reduce the energy consumption of institutional buildings, progress will be made in three directions: 1. active strategies for the production of renewable energy2. active strategies with high efficiency installations3. passive strategies to generate energy savingsthe installation of 87 kiosks with solar panels is proposed, covering 66 educational venues in the rural area and 20 institutions in the urban area and an installation in public space.",renewable energy
water and territory governance in the atriz valley water region,"the project seeks to establish a territorial system of water governance in intermediate (pasto) and small (tangua) high mountain cities in the rhva, which share water sources and need to develop collaborative tools for their water security as a strategy for adaptation to climate change, thus achieving sustainable territories, in a context of high climate variability,  betting on a post-pandemic green recovery;  providing water for all and for life., the project has an approximate cost of 1.4 million euros","water and territory governance in the atriz valley water region. the project seeks to establish a territorial system of water governance in intermediate (pasto) and small (tangua) high mountain cities in the rhva, which share water sources and need to develop collaborative tools for their water security as a strategy for adaptation to climate change, thus achieving sustainable territories, in a context of high climate variability,  betting on a post-pandemic green recovery;  providing water for all and for life., the project has an approximate cost of 1.4 million euros",water management
articulated electric buses,"integra as the operating company of the sitp of the city in alliance with energía de pereira, have put into circulation articulated buses as part of a pilot project. within the new concession, it is intended that the vehicle fleet has 30% of electric buses.","articulated electric buses. integra as the operating company of the sitp of the city in alliance with energía de pereira, have put into circulation articulated buses as part of a pilot project. within the new concession, it is intended that the vehicle fleet has 30% of electric buses.",transport
solar farm,"solar farm project in which 5% of the energy demand of the municipality of pereira is generated, through solar panels. similarly, solar systems have been installed in private companies for the consumption of their operations.","solar farm. solar farm project in which 5% of the energy demand of the municipality of pereira is generated, through solar panels. similarly, solar systems have been installed in private companies for the consumption of their operations.",energy efficiency
mega-bike,"project led by the institute of mobility of pereira, in which sustainability is promoted in the transport of the pereiranos, through the use of bicycles of the municipality and the stations of the same distributed in different parts of the city.","mega-bike. project led by the institute of mobility of pereira, in which sustainability is promoted in the transport of the pereiranos, through the use of bicycles of the municipality and the stations of the same distributed in different parts of the city.",transport
mega-cable,"project that contributes to sustainable mobility in the city of pereira, involving transport airlines","mega-cable. project that contributes to sustainable mobility in the city of pereira, involving transport airlines",transport
environmental awareness - environmental watchmen,"the environmental watchdog program of the pereira sas esp cleaning company promotes citizen culture based on environmental education, sensitizing the pereira community in the proper management of their waste and separation at the source, to reduce the amount of usable solid waste that reaches the landfill.","environmental awareness - environmental watchmen. the environmental watchdog program of the pereira sas esp cleaning company promotes citizen culture based on environmental education, sensitizing the pereira community in the proper management of their waste and separation at the source, to reduce the amount of usable solid waste that reaches the landfill.",waste management
energy optimization in the aqueduct and sewerage of the municipality of tenjo,"it seeks to optimize the conventional energy consumption of the ""chitasuga"" drinking water extraction plant, the ebar wastewater pumping station and the wwtp wastewater treatment plant in order to reduce the municipal carbon footprint and the costs associated with its operation.","energy optimization in the aqueduct and sewerage of the municipality of tenjo. it seeks to optimize the conventional energy consumption of the ""chitasuga"" drinking water extraction plant, the ebar wastewater pumping station and the wwtp wastewater treatment plant in order to reduce the municipal carbon footprint and the costs associated with its operation.",energy efficiency
bird park project,"the bird park project is currently carrying out the studies and designs, with this project it is intended to contribute to the conservation of water resources in the protective forest reserve quebrada honda, caño parrado and buque - buenavista, through nature tourism, especially avitourism as an economic alternative to the inhabitants of the sector, reducing the anthropic pressure on the forests and water sources of the sector.","bird park project. the bird park project is currently carrying out the studies and designs, with this project it is intended to contribute to the conservation of water resources in the protective forest reserve quebrada honda, caño parrado and buque - buenavista, through nature tourism, especially avitourism as an economic alternative to the inhabitants of the sector, reducing the anthropic pressure on the forests and water sources of the sector.",water management
pilot project of the ciénaga de la virgen district park,"the implementation of functional unit no. 1 of the malecón parque distrital ciénaga de la virgen, will allow the establishment of the first milestone of urban renewal on the southeastern edge. this action will create a new image of city edge and tourist showcase for the entire district. it is expected that different environmental, social and urban dynamics will be generated that potentiate the need to continue with the development of the other functional units of the malecon and thus consolidate the district park. the expected scenario is to become a benchmark for urban renewal through the use of the soils created (generated) by the perimeter road, which from its execution establish the mechanisms of structuring, construction and design for the other functional units established in the master plan of the perimeter road. with the aim of turning this strategic operation into a flagship project for cartagena and that is developed from it, other complementary projects that revitalize the area of influence and benefit the settled population.","pilot project of the ciénaga de la virgen district park. the implementation of functional unit no. 1 of the malecón parque distrital ciénaga de la virgen, will allow the establishment of the first milestone of urban renewal on the southeastern edge. this action will create a new image of city edge and tourist showcase for the entire district. it is expected that different environmental, social and urban dynamics will be generated that potentiate the need to continue with the development of the other functional units of the malecon and thus consolidate the district park. the expected scenario is to become a benchmark for urban renewal through the use of the soils created (generated) by the perimeter road, which from its execution establish the mechanisms of structuring, construction and design for the other functional units established in the master plan of the perimeter road. with the aim of turning this strategic operation into a flagship project for cartagena and that is developed from it, other complementary projects that revitalize the area of influence and benefit the settled population.",other
project integral recovery of the environmental conditions of the juan angola pipe,"the project seeks to i) recovery of space and relocation of housing, ii) recovery of mangrove cover, iii) construction of an interface area of public space, iv) reformulation and construction of the new road system, v) design and construction of urban environmental axes in the six sectors of the canyon.","project integral recovery of the environmental conditions of the juan angola pipe. the project seeks to i) recovery of space and relocation of housing, ii) recovery of mangrove cover, iii) construction of an interface area of public space, iv) reformulation and construction of the new road system, v) design and construction of urban environmental axes in the six sectors of the canyon.",water management
sustainable neighborhood,"sustainable neighborhoods are those that go from being vulnerable to the consequences of climate change, climatic variations and extreme climatic events (such as runoff, floods, droughts, anm, etc.), to being neighborhoods whose community leads its own adaptation process, are able to adapt participatively to these phenomena and contribute to the improvement of the quality of life of its inhabitants. the adaptation must contemplate the intervention of housing, roads and drains, and the revitalization of public spaces and green areas in order to recover their landscape and environmental functions. in turn, this intervention must improve both access to the neighborhood and the interior roads and those that communicate it with the rest of the city; promote alternative means of transport; efficiently use household public services; generate income from job opportunities created around the sustainability of the adapted neighbourhood, and increase social cohesion and citizen participation. as a result, the intervened neighborhood must not only be adapted to climate change, but also become a space of urban prosperity.","sustainable neighborhood. sustainable neighborhoods are those that go from being vulnerable to the consequences of climate change, climatic variations and extreme climatic events (such as runoff, floods, droughts, anm, etc.), to being neighborhoods whose community leads its own adaptation process, are able to adapt participatively to these phenomena and contribute to the improvement of the quality of life of its inhabitants. the adaptation must contemplate the intervention of housing, roads and drains, and the revitalization of public spaces and green areas in order to recover their landscape and environmental functions. in turn, this intervention must improve both access to the neighborhood and the interior roads and those that communicate it with the rest of the city; promote alternative means of transport; efficiently use household public services; generate income from job opportunities created around the sustainability of the adapted neighbourhood, and increase social cohesion and citizen participation. as a result, the intervened neighborhood must not only be adapted to climate change, but also become a space of urban prosperity.",other
storm drainage master plan,"the master plan of storm drains is developed with the purpose of seeking an adequate system of storm drains to minimize, correct and avoid the harmful effects of rains in the basins that make up the territory of the district of cartagena. to date, one of the city's rainwater channels has been intervened. currently, there are 8 channels that have detail engineering and budget. as for the remaining 18 channels, the designs must be made to obtain plans and construction budgets for the development of the infrastructure works.","storm drainage master plan. the master plan of storm drains is developed with the purpose of seeking an adequate system of storm drains to minimize, correct and avoid the harmful effects of rains in the basins that make up the territory of the district of cartagena. to date, one of the city's rainwater channels has been intervened. currently, there are 8 channels that have detail engineering and budget. as for the remaining 18 channels, the designs must be made to obtain plans and construction budgets for the development of the infrastructure works.",water management
promotion of a river and lake transport system within the framework of an intermodal transport system phase i,"the city has been planning a water transport system in its bay-system of pipes and internal lagoons-swamp of the virgin to reduce travel times in the city, while making the operation of the transcaribe mass transport system more efficient. recently it has been working with the academy, which has developed a prototype of a boat that works with solar energy and is currently under construction. it is to be defined the operation of the system. the complete project includes the adaptation of the internal bodies of water for the passage of the boats. the initial phase that is being worked on has a cost of approximately 3.5 million usd.","promotion of a river and lake transport system within the framework of an intermodal transport system phase i. the city has been planning a water transport system in its bay-system of pipes and internal lagoons-swamp of the virgin to reduce travel times in the city, while making the operation of the transcaribe mass transport system more efficient. recently it has been working with the academy, which has developed a prototype of a boat that works with solar energy and is currently under construction. it is to be defined the operation of the system. the complete project includes the adaptation of the internal bodies of water for the passage of the boats. the initial phase that is being worked on has a cost of approximately 3.5 million usd.",transport
mangrove restoration in environmentally degraded areas,"implementation of conservation and restoration processes of degraded mangrove areas with the purpose of reducing the risk of climate change, increasing the coverage and natural regeneration processes of these ecosystems that includes the participation of key actors in the swamp of the virgin, the nuevo paraíso neighborhood isla de belén sector and the blessing of god","mangrove restoration in environmentally degraded areas. implementation of conservation and restoration processes of degraded mangrove areas with the purpose of reducing the risk of climate change, increasing the coverage and natural regeneration processes of these ecosystems that includes the participation of key actors in the swamp of the virgin, the nuevo paraíso neighborhood isla de belén sector and the blessing of god",other
urban tree system of cartagena,"the project seeks to strengthen the city's urban tree system with the planting of 100,000 species of tropical dry forest, half of which would be cultivated in nurseries established and operated by the public environmental establishment of cartagena. likewise, the updating of the tree census is contemplated to define the ideal planting areas and, as far as possible, to establish environmental corridors. a monitoring system is also contemplated to quantify the ghgs these individuals would capture, together with a process of transversal environmental education in the communities.","urban tree system of cartagena. the project seeks to strengthen the city's urban tree system with the planting of 100,000 species of tropical dry forest, half of which would be cultivated in nurseries established and operated by the public environmental establishment of cartagena. likewise, the updating of the tree census is contemplated to define the ideal planting areas and, as far as possible, to establish environmental corridors. a monitoring system is also contemplated to quantify the ghgs these individuals would capture, together with a process of transversal environmental education in the communities.",other
