area,title+desc
transport,"implementation of bicycle paths and infrastructure (bicycle parking lots). within the context of covid-19, 46 km of emerging cycle lanes have been implemented within the metropolitan thoroughfares. likewise, the current infrastructure of bicycle paths amounts to more than 204 km and the goal set by 2035 is to have more than 1000 km of bicycle paths that connect all the metropolitan routes. arequipa: it is a public space for the promotion of healthy living habits, sustainable transportation and family integration activities which, when interacting, experience a change in attitude that contributes significantly to society. the goal is to achieve 52 closures of this space each year. without considering eventualities such as the pandemic that we are currently experiencing, and that has affected the normal development of the program from the fortnight of march to date. emerging cycle paths: they are cycle paths that are born as a result of immediate actions, which arise within the framework of tactical urbanism, as a transport alternative to reduce the risk of contagion by covid 19, in addition to this it provides more space and security for cyclists in situations of danger or vulnerability in this sense, these emerging bike lanes have been implemented in several cities around the world during the covid-19 pandemic in order to help cyclists maintain social distance to minimize the risk of contagion, in addition to other benefits collaterals, among them stopping the indiscriminate use of private vehicles, strengthening non-motorized transport that provides benefits to health, the economy and the environment. execution of cycle paths and bicycle parking: non-motorized transport will be carried out during these two years (2020 and 2021) the following projects, in different stages: i stage of emerging bike paths: it is made up of 46 km and 12 parking spaces, comprised of 11 sections that will facilitate cycling in the north, south, east and west areas. in addition, complementary measures will be implemented, such as the installation of traffic lights for cyclists, a speed reduction to 40 km/h in the lane adjacent to the bike paths and tactical urban planning interventions. commuting by bicycle. short-term projectsnew bicycle lanesconsists of new bicycle lanes in san juan de lurigancho, los olivos, villa el salvador and la victoria • av. jorge basadre - sjl• av. san hilarion - sjl• av. the poles - sjl• av. gardens - sjl• av. coltsfoot - sjl• av. lime – av. spring flowers – av. big song - sjl• av. santa rosa – sjl• av. izaguirre – the olive trees • av. industrial separator – villa el salvador • av. juan velazco alvarado – villa el salvador • av. may 1st – villa el salvador • av. 200 miles – villa el salvador • av. méxico – la victoriarehabilitation of bicycle lanesit is made up of 36 km of rehabilitated bicycle lanesmaintenance of bicycle lanes (25.18 km) with execution of emape"
buildings,"photovoltaic solar energy in public buildings. this study aims to summarize the findings of the c40 technical assistance program for buildings and energy for the photovoltaic solar energy project in public buildings in the city of lima. the city of lima provided data for two public buildings to be initially considered for a project. photovoltaic solar energy pilot on roofs. this report presents the conclusions of the analysis of the photovoltaic solar energy potential of the two selected buildings and the financial analysis that demonstrates the financial viability of the project and the payback period. the analysis methodology is replicable and the pv pilot project can be scaled to the broader portfolio of existing buildings in lima, if more data on these buildings and their energy performance is available. the city of lima has identified two buildings for the pilot project of photovoltaic solar energy in public buildings: the confina building and the municipal palace. the city provided building data, including energy consumption data and energy price information for these buildings, which are presented in the table below. the feasibility study of photovoltaic solar energy and the financial analysis were carried out with said data. the installation of photovoltaic solar energy in public buildings is one of the key actions that the city can take to decarbonize and promote the local generation of clean energy. the report demonstrates that solar pv investments in public buildings in the municipality of lima can generate a positive financial return. therefore, the city can benefit from the implementation of solar pv in all public buildings from a financial and environmental perspective. by deploying solar pv in public buildings, the city can also help build the solar pv market in the city, it can lead the way and show a role model for residents and businesses to implement solar pv in their own buildings . however, the current regulatory framework does not allow the city to influence, control or promote renewable energy in private buildings"
energy efficiency / retrofit,"&quot;transition to sustainable public buildings in mexico city&quot;. develop energy diagnoses in public administration buildings, which allow the identification of energy consumption systems with the greatest potential for reconversion in order to subsequently replace said systems with high-efficiency equipment, in addition, simultaneously, users and operators of the systems will be trained. buildings to create a comprehensive energy management system"
energy efficiency / retrofit,"refrigerator replacement program replacement and scrapping of 525,596 refrigerators older than 15 years, which will allow obtaining social, economic and environmental benefits by reducing electricity consumption"
renewable energy,"sun bonus. the solar bond project contemplates the installation of 600 photovoltaic solar roofs in homes in the subsidized sector and its objective is to demonstrate the technical, operational and financial feasibility of the scheme (use the residential electricity subsidy to finance the purchase and installation of photovoltaic systems) in such so that it can be scaled to a phase of greater investment in mexico city (150,000 roofs). the project is still in a preliminary study, so there is no estimated amount of the initial investment and total cost"
waste recycling,"biodiesel generation from cooking oil waste. energy use of cooking oil characterized as waste, from which it seeks to generate 2,100 m 3 /year of biodiesel. it projects the substitution of 0.15% per year of diesel from fossil energy sources, seeking to mitigate 6000 tons of carbon dioxide"
waste management,"change of fuel for the waste collection fleet. rio de janeiro started to change the waste collection fleet  - from diesel oil vehicles to electric vehicles, managed by comlurb, a municipal company responsible for waste management"
energy efficiency / retrofit,"sustainable schools. a study was developed by the world bank on opportunities and costs for energy and water efficiency and solar power use in municipal schools buildings. rio de janeiro has more than 1400 schools buildings and this project would have a great impact. the study is in its second phase, looking for business models that would allow it to be implemented"
energy efficiency / retrofit,"solar schools. the solar schools project is being developed under the compasso ufmg program, through a partnership established between the university and the city of belo horizonte, with the aim of developing methods and solutions for municipal areas that are more vulnerable to climate change. the project aims to research the dynamics of electricity use in standard buildings in the municipal education network, propose actions to improve energy efficiency in accordance with national regulations and prepare the installation of a solar photovoltaic generator system interconnected to the utility&#39;s electrical network local. since september 2018, the solar schools project has been accelerated by the urban-leds ii project and, since the end of 2019, it integrates the leds lab initiative of this project, both funded by the european commission and implemented by iclei - local governments for sustainability in partnership with the un-habitat. in this context, belo horizonte was selected to receive direct support from a consortium of specialized consultants contracted by iclei and composed of mitsidi projects, i care &amp; consult, markup consultants and hill consulting with the aim of implementing a pilot project for photovoltaic energy and/or or energy efficiency based on an analysis of occupancy and use of electricity at the herbert josé de souza municipal school (emhjs), in the northern region, as the first step towards implementing the solar schools project. completed the climate finance webinar series for members. in addition, mitigation measures were proposed based on analyzes carried out by ufmg and the initiative&#39;s consultancy, which consider energy efficiency actions and renewable energy generation. two measures were selected due to their technical, financial and environmental viability, with a view to implementing them at emhj, namely: installation of a photovoltaic (fv) solar energy generation system; improvement of internal lighting, considering changing light bulbs and light fixtures in order to meet standards, improve visual comfort and save energy. these two mitigation measures will rely on the development of a basic project for each, that is, they will be studied , budgeted and detailed in order to effectively guide its execution. part of these actions will be implemented with the seed capital made available by the urban-ledsii project (eur 15,000 or r$ 73,253.00), and part will be applied to obtain financing from other sources. recently, the consultancy submitted the solar schools project to the par-procel call, but it was not among the finalists. in the submitted proposal, the total project costs were considered, that is, a scenario in which all energy efficiency measures were complied with and the photovoltaic solar energy generation system was fully installed at the emhjs. in addition, consideration was given to replicating the project in two new buildings for the municipal public school system. below are the total costs of the project and the costs of its replication:total costs in hjs: r$675,000.00photovoltaic system: r$250,000lighting: r$130,000.00equipment change: r$60,000.00meters: r$10,000electrical retrofit: r$200,000training : r$25 000replication in 2 buildings2 bh pilots (seed): r$134 0002 diagnostics: r$100 000"
transport,"electric mobility. this project is coordinated by bhtrans and accelerated, since september 2018, by the urban leds ii project (implemented by iclei - local governments for sustainability in partnership with un-habitat with funding from the european commission and executed in belo horizonte in partnership with the city hall through the management of special projects by the municipal secretary of the environment), aimed at electrifying the public transport fleet in the capital. its vision is as follows: &quot;in 2021, belo horizonte will have a fleet of at least 25 electric buses operating in its conventional service, with the aim of improving air quality, reducing noise pollution and reducing greenhouse gas emissions stove&quot;. for this purpose, technical, economic, commercial and political risks were mapped and risk mitigation actions are being studied. alternatives for financing vehicles or batteries (higher value imported components) are also being studied, but are still a challenge to be overcome. the pilot project includes a vehicle fleet consisting of 3 minibuses, 17 standard buses and 5 articulated buses. the minibuses will be allocated to the vilas e favelas system (villages and favelas) and in lines that circulate on roads with restrictions on the operation of larger vehicles. they can also be allocated in the complementary service. conventional and standard vehicles represent the vast majority of the municipal fleet, distributed in circular, diametric, radial and feeder lines. the use of articulated vehicles is concentrated in the trunk system and they travel on exclusive routes or with preferential treatment for public transport. the reduction of greenhouse gas emissions, the improvement of air quality and the reduction of noise pollution are among the opportunities and impacts of the project, as well as the increase in the service of the public transport system, with the possibility of implementing this same technology in other areas. from the city"
waste management,"program recycling attitudes. recycling attitudes in the city - the project seeks to reclassify illegal garbage disposal points in the city, with cleaning the site, landscaping improvements and environmental education actions with the community"
waste management,"plan for the procurement of organic waste susceptible to treatment to reduce disposal in sanitary landfills and generate valuable inputs. project worked in conjunction with c40, this recognizes and celebrates the interest and institutional will of the city of guadalajara, to move towards the search for solutions that improve the management of the organic fraction in the region and through the waste and food program supports the definition of technical support as part of the emblematic project cothe following tasks have been carried out to date: ● evaluation of the institutional framework for the procurement of organic waste and implementation of treatment projects● evaluation of relevant existing advances within the objectives of the comprehensive management plan of the region● identification and evaluation of potential sites for the construction of treatment facilities and estimation of treatment capacity for different technologies● identification of large generators and estimate of current generation of organic waste from them● proposal for a progressive procurement plan 2020-2035 of organic waste cos with five-year scenarios that contemplate the collection of large generators, the hospitality industry (restaurants, markets, hotels, etc.) as well as potentially mixed and source-separated household waste, if feasible.● indicative estimate of investment, operation and maintenance costs of treatment solutions through technologies compatible with the procurement and composition scenarios using tools such as organecs 2.0 or similar ● evaluation of the demand and possible use of the compost produced from the organic fraction of the msw, as well as a feasibility study of the integration of compost as an additional source in the industrial manufacture of fertilizers.● presentation of reports, progress, and results to the city of guadalajara and its technical teams through imeplan, city advisor, and other relevant institutions."
buildings,"urban terrariums: transformation of small idle public areas into sustainable pocketparks. transform idle public areas of up to 500 m² into sustainable spaces for leisure, coexistence and contact with nature. this is what decree 20.652/2020 provides for, which institutes urban terrariums and encourages the activation of residual public areas with services and commerce. inspired by the model of pocketparks (mini parks) in new york, the objective is to transform unused areas with low commercial value into places that attract the population. porto alegre has around 300 idle residual areas owned by the municipality. because they are not being used, these spaces are often invaded or used for irregular waste disposal. as well as the parklets in porto alegre, the intention is to re-signify people&#39;s relationship with the city and encourage entrepreneurship and the generation of jobs and income from the launch of public notices to activate these areas, creating a new option for the qualification of the landscape urban, meeting the principles of sustainability, the government will allow the use of the space, which will be freely accessible to the population. on the other hand, the permission holder will bear the costs of maintaining the space, which will be vitalized by him. the urban terrarium is composed of open and closed space and can have a total area of up to 500 m². projects should include sustainability measures, using building materials, urban furniture and other equipment made with ecological materials; planting native flora of the state; rational use of water through efficient irrigation systems or reuse; use of alternative forms of energy; measures aimed at reducing the formation of heat islands, such as green walls and roofs, and the use of alternative forms of drainage, such as rain gardens. in addition to helping to prevent soil sealing, collaborating with the drainage system, terrariums can also contribute to increasing urban safety, as they encourage the flow of people in unused areas. with no set launch date, the first idle area that must have a pilot public notice for permission to use is located at 1831, lucas de oliveira avenue. the project is the result of a partnership between the public authorities and the happy pact (unisinos, ufrgs, pucrs, society and the private sector to make the gaucho capital a reference in innovation and quality of life"
energy efficiency / retrofit,"light of knowledge. implementing an energy efficiency project in the 99 schools in the municipal education network and expanding the project to other public buildings in the municipality is what the luz do saber project foresees. felicity / giz provided, at no cost to the city hall, through a cooperation term, specialized technical consultancy for the construction of the project. the initiative is part of the administration&#39;s structuring programs, and provides for the installation of panels to capture sunlight, led lamps and other initiatives that will generate savings in the electricity bill and reduce the emission of greenhouse gases. more details about the project will be released by the municipality in due course."
buildings,"sustainable rooftops. decree of august 2020 encourages the implementation of sustainable areas for leisure, socializing and contemplation on terraces of residential and commercial buildings in porto alegre. the objective is for “sustainable rooftops” to contribute to reducing the effects of heat islands, help to retain rainwater, and bring greater thermal and acoustic comfort to buildings, reducing ghg emissions. the roofs of buildings that have sustainability elements contemplated will not be considered a dense area, that is, they will not be included in the height calculation when linked to the condominium area, stimulating its installation. the proposal also intends to encourage the commercial use of the roofs, with the installation of cafeterias and restaurants in commercial buildings, as is common in large cities around the world, such as new york, paris, london and hong kong, making the view an attraction. the roofs must have a vegetated area in the minimum proportion of 25% of the total area of the lower floor, and the built area will be limited to 25%. the innovation of the decree is in allowing the use of the terraces, as long as sustainability criteria are met, such as the implementation of a vegetated area and the use of photovoltaic panels for energy generation. the decree also provides for the possibility of crowning the building next to the rooftop, in order to maintain the formal composition of the building and qualify the urban landscape. the crown can be characterized as a delimiting element of the open faces of a terrace, serving as a guardrail. the decree establishes that, when implemented in residential buildings, the use of the rooftop will be exclusively condominium and, when implemented in commercial buildings, the use will be condominium or private with public access. the new rules apply to existing buildings, and to projects in progress, if it is in the entrepreneur&#39;s interest. each interested owner / entrepreneur will make and present their project, as well as cover the implementation costs, being individualized initiatives. therefore, there is no total project cost. the initiative does not require resources from the municipality, which is encouraging, through a legal act, the implementation of sustainable rooftops throughout the city"
transport,"plano cicloviário municipal. in order to expand the supply of bike lanes and bike routes, the city is planning to significantly increase the extent of these lanes and bike routes in the coming years. the implementation of bike lanes will include private financing, through environmental compensation.in 2016, two bike lanes have been implemented (in baden powel and norte-sul avenues) and at least 30 km in executive projects are being funded by municipal fund of environment"
buildings,"casa da sustentabilidade. the house of sustainability is planned as a model of sustainable technology and construction solutions. the house design was funded by the city via a contest; however, the implementation of the project will involve private entities that are interested in relating its image to questions of sustainability"
buildings,"escolas sustentáveis. sustainable schools - the project focus on applying three nature based solutions in municipally owned schools: school gardens, composting system and reuse of water installations in order to reduce ghg emissions, increase green spaces in urban areas, eliminate organic waste, increase urban food production and encourage healthy eating habits.  but mainly, it aims to be an educational project, to educate kids and the youth about climate change, circular economy and nbs, making children co-responsible for the project’s maintenance and transforming them on enablers of change to adapt for climate change and move towards a more resilient city. it aims to aspire to reduce organic waste produced, reduced waste management cost, reducing methane gas emissions and strengthening circular economy"
energy efficiency / retrofit,"efficient public lighting. this project consists of the modernization, replacement, and expansion of the public lighting system of the metropolitan district of quito (dmq), replacing conventional luminaires (around 223,000) with efficient public lighting, promoting energy efficiency, citizen security, reducing the city&#39;s carbon footprint and generate savings for citizens and the municipal government. a full replacement of conventional lighting could mean halving (0.5%) the contribution of public lighting to quito&#39;s carbon footprint. the project promotes energy security by reducing electricity consumption in public lighting (6% of total electricity consumption in the city; twice the regional average), as well as installing led lamps, which have better efficiency rates. (conversion of energy into luminous flux) than conventional lamps, improves lighting levels within public spaces and reduces visual pollution and light waste. due to its physical strength and technology, led lamps have a much longer lifespan (up to 40 times) than conventional incandescent lamps, and can be recycled. the project improves access to electricity, since the energy saved can be distributed to users who currently do not have access to electricity services in homes, businesses and industries. in addition, proper lighting design improves light levels, increases safety, and the city&#39;s aesthetic appeal to residents and visitors. in cooperation with the national government, the local public electricity company (empresa electrico de quito - eeq) and private stakeholders, in recent years the municipality has rehabilitated and optimized public lighting, focusing efforts on the historic center of quito , where 2,940 conventional light bulbs have been replaced by efficient lighting systems (led), with an investment of us$3 million, which implies a reduction in consumption equivalent to us$128,000 per year, which represents the displacement of 715,000 tco2e. the next step of the project is to replace the ornamental public lighting in quito, located in urban parks and green areas, which means the replacement of 1,756 luminaires concentrated mainly on posts (77%), the ground (17%) and facades (6% ), with a budget of approximately us$1 million. in addition, all conventional spokes in quito will be replaced."
waste recycling,"management of organic waste from markets. the objective of this project is to reduce emissions from the waste sector by treating organic waste that enters the landfill. the project seeks to implement an organic waste processing plant to produce compost that will later be sold. this project responds to the municipal zero waste policy. 150,000 tons/year are expected to be processed at this plant"
water management,"vindobona wastewater treatment plant. this project proposes to carry out a complete and adequate management of quito&#39;s liquid waste generated by the population (domestic discharges) and productive activities (industrial discharges), through the interception, transport and treatment of wastewater from the city, decontaminating 246 km of the quito and corrientes rivers, minimizing the impacts that are currently derived from direct discharges, improving the quality of life of the population. the infrastructure consists of the construction of main sewerage pipes and secondary marginal collectors, which transport wastewater to the water recovery plants. interceptors will be installed, making bad odors disappear, improving air quality and peaceful citizen coexistence near the now polluted rivers. propose to transform the degraded influence zones of the rivers into usable areas for irrigation and hydroelectric power, as well as green areas for recreation and landscaping, potential ecological correctors for the protection of biodiversity. in addition, the project proposes the generation of renewable electricity through the construction of three hydroelectric plants. in addition to making the project self-sufficient, the electricity generated will change the sale of excess production (28 mw / h) to the electricity distribution system of the city or the country. this will avoid thermoelectric generation, which will generate economic savings by avoiding the use of fossil fuels and at the same time reduce greenhouse gas emissions into the atmosphere. only one water recovery plant has been built in the south of the city, the quitumbe plant, with an investment of 12.5 million dollars."
waste recycling,"electricity generation from biogas. generation of electricity with biogas from the quito landfill. this project consists of using biogas from the quito landfill to generate electricity, as part of the district&#39;s zero-waste policy, which promotes the prevention, minimization, and separation of waste sources, as well as collection, treatment, and responsible and efficient waste disposal. the metropolitan public solid waste management company (emgirs) is in charge of the quito &quot;el inga&quot; sanitary landfill, where solid household waste collected from the city and 33 rural parishes has been deposited since 2003 (approximately 2,000 tons per day, of which 57% are organic waste, 24% are recyclable waste and 19% are rejects). there is a network of pipes to capture biogas within the entire &quot;el inga&quot; sanitary landfill, which leads to a chimney where the biogas is incinerated. with an investment of approximately us$7 million, by the end of 2015 there will be an assembled biogas power plant inside the “el inga” landfill, starting to generate 2mw/h, and expecting to generate 5mw/h by the end of 2016. electric power generation through biogas from the quito landfill contributes to the national grid, as a source of conventional renewable energy, supporting the new national energy matrix. it also mitigates the environmental impact caused by the emission of greenhouse gases, in this case, methane. this action will reduce 144,000 tco2e per year"
buildings,"transfer of buildable areas in conservation areas of the historic center of quito. housing in the chq can be profitable even with little or no investment, due to the fact that in this urban centrality there is a significant demand for rental of properties for commercial and residential use (homes, garages, warehouses, commercial premises and rental rooms for low cost."
water management,"decree of the cerro del aguila as a protected natural area. it is currently an agreement approved by the city council, since june 1, 2016, through which the commitment of h. morelia city council, to develop and operate the municipal resilience strategy and install a resilience unit as part of the municipal public administration, in accordance with the sustainable development goals agreed for 2030 by the community of united nations, specifically goal 11, which indicates the achievement that cities and settlements are inclusive, safe, resilient and sustainable and, among its goals, said objective establishes that by 2020 it is intended to substantially increase the number of cities and human settlements that adopt and implement integrated policies and plans to promote inclusiveness, resource efficiency, climate change mitigation and adaptation, and disaster resilience, and develop and implement, in line with the sendai framework for climate reduction of disaster risk 2015-2030, the comprehensive management of disaster risks at all levels. the commitment it is also in accordance with the world charter of the right to the city, which, although not mandatory, indicates international agreements and consensus on this particular topic. in addition, the rockefeller foundation&#39;s 100 resilient cities program provides direct funding for the hiring of a top-level municipal official as executive director of resilience, financial and logistics advice for the collaboration of a comprehensive resilience strategy and access to a service platform with international organizations from the private sector and civil society organizations. with this commitment it seeks to integrate the resilience criterion into the planning processes coordinated by the municipal planning institute of morelia, being an integral part of the municipal planning system and its instruments, in such a way that it can be operated transversally through the different agencies and entities. of the municipal public administration. mulation and implementation of the resilience strategy will be carried out with the participation of citizens and following the principles of open government. the government effectiveness and innovation secretariat will promote and coordinate the incorporation of the municipal resilience strategy in actions as criteria for prioritize public investment"
water management,"payments for environmental services. payments for environmental services in the ejidos of coapa, san nicolas obispo and joyas la huerta for the protection of 500 ha"
waste management,"cerro de la campana bio-cultural park. a public initiative to regenerate the deforested area of “cerro de la campana” hill with xerophile flora (resilient to arid climate) to function as a carbon sink and water damping. this development includes the establishment of a “circular economy centre”, a pilot program in which the species of flora will be employed to produce goods (such as food), composting (to maintain the forest) and ethnobotanical products for bio-cultural preservation. this park also contemplates establishing a low-emission zone, a high mobility network and social engagement attractions (such as an extreme sports facility, trekking and cafés).all of the costs presented are an estimate, the final figures might differ"
water management,"diagnosis and recovery plan of the urban lagoons of conception. the objective of the study was to carry out a complete and comprehensive diagnosis of the five urban lagoons of the city of concepción (laguna redonda, las tres pascualas, lo galindo, lo méndez and lo custodio) regarding limnological parameters, water quality, sediments, flora , fauna and a rising of social perception. based on the diagnosis made, a recovery plan was prepared for each lagoon. the study determined that the main problem presented by all the lagoons lies in the excessive load of nutrients (nitrogen and phosphorous), which reach the lagoon through rainwater channels that directly or indirectly contribute to them. recovery plan project profiles for each conception lagoon"
waste management,"installation of tire shredding plant. as a permanent solution measure for the final disposal of used tires in tampico, it is necessary to purchase and install a tire recycling line, which is made up of a series of equipment that has the necessary conditions to separate and grind the various components. that make up a commercial tire"
transport,"public bicycle system (sbp). facilitate the implementation of an electro-assisted bicycle loan service to promote the urban use of the bicycle in short-distance and duration trips, among previously registered and identified people. monitoring: collect information obtained from the application of the use of the sbp for the follow-up of the data and its future planning according to the profile of the users. provide traceability to the routes of the people who travel by bicycle and who use the bike parks for the development of new infrastructure. transitory law 9660, regulation of the bicycle rental system canton of san jose: establish a regulation for the regulation and implementation of law 9660 in compliance with the transitory ii. expand the cycling infrastructure network for mobilization safe for people in the west-east direction of the current cycle path with the north-south, as well as the points of interest for the promotion of intermodality"
transport,"sidewalk improvement, accessibility promotion, road safety. roadway improvement: adapt the roads of san josé and their elements (widths and quality of the road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to safety, organization and accessibility standards for pedestrian and vehicular traffic. rehabilitation of zones 30: implement a sustainable urban center strategy between the residential, commercial, gastronomic sectors and the community, in the escalante neighborhood for the reconversion of public space. this seeks that the roads have a vehicular speed restriction of 30km/h. improvement of sidewalks and road safety: adapt the roads and their elements (widths and quality of the road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety, organization and accessibility standards of pedestrian and vehicular traffic. (cost: 120,000,000 colones) mobility regulations: update the regulations of the urban master plan for the fulfillment of the objectives of the organization. collaborative work with different departments in multidisciplinary commissions, by theme, experience and specialty"
transport,"continuity of boulevards. avenida central boulevard extension: extend the central avenue boulevard from 11th street to 19th street to expand pedestrian spaces to improve pedestrian mobility (cost: 950,000,000 colones). 2nd street boulevard: connect central avenue with pacific station for the promotion of pedestrian and cyclist mobility and the economic strengthening of the south of the city (cost not yet defined). inter-institutional coordination: mopt, aya aqueducts and sewers, costa rican electricity institute ice, national power and light company cnfl, commerce, property owners, in relation to the execution and progress of work"
waste management,juárez recycles. “juárez recicla” recycling of urban solid waste generated at home
waste management,put the batteries “put your batteries on” collection of alkaline batteries of all sizes distributed in the collection centers in 50 oxxo stores
waste management,"juárez free of tires. &quot;collection, collection and final destination of waste tires&quot; program where the citizens participate in the collection, transfer to the collection center the importers of used tires and in the final destination the municipality of ciudad juárez (ecology department)"
water management,"expansion of the municipality&#39;s drainage and sanitary sewage network. the state, through its concessionaire, has been carrying out the expansion of the sanitary sewage network in the municipality of aracaju. the municipality has also been working on expanding its drainage and rainwater drainage network"
transport,"urban mobility in aracaju. support for projects and actions to improve and expand the road network, encouraging the use of more efficient mass public transport"
waste recycling,echo points. implementation of voluntary delivery points for recyclables (selective collectors distributed in the city); deployment of eco points
outdoor lighting,modernization of public lighting. implementation of lighting in led lamps on public roads in the municipality
transport,"articulated electric buses. integrates as the operating company of the city&#39;s sitp in alliance with energy from pereira, they have put articulated buses into circulation as part of a pilot project"
renewable energy,"training and fundamental research, in order to generate analysis methodology for the development of a project for a biological mechanical treatment (tmb) installation with integrated fermentation in the city of jundiaí. the i-nopa program (new integrated partnerships), in short, aims at the technical and academic exchange between brazil and germany, in the area of sustainable development, for the promotion of biogas generation technologies from the treatment of urban solid waste, in specifically domestic solid waste. had as one of its projects that of “training and fundamental research, in order to generate analysis methodology for the development of a project for a biological mechanical treatment (tmb) installation with integrated fermentation in the city of jundiaí” with the objective of opening a discussion multidisciplinary integrating several market segments in order to allow the design of tools for the implementation of a sustainable management of urban solid waste. from fermentation, composting, recycling and energy recovery to issues related to planning, execution and operation, as well as customized and sustainable waste management, and also relevant aspects for project implementation such as financing and licensing, always observing trends and challenges of an innovative management. the project t it also provided global knowledge about this new market and also the construction of an interrelationship with the waste sector in the brazil-germany context, establishing an exchange with german institutions that are icons in practices that guarantee climate protection and the preservation of natural resources, providing opportunities for thus a permanent exchange of experiences, through professional and technological education. had the following results: 1. training of the technical staff of the city hall.2. qualitative and quantitative analysis of large generators.3. planning and implementation of a scientific laboratory for the analysis of substrates and by-products.4. gravimetric and granulometric characterization of household and recyclable solid waste.5. development of methodology for analysis of substrates.6. formation of guidelines for the development of the technological concept.7. promotion of pilot plants: biodigestion and composting.8. mapping of the market for disposal of by-products.9. event promotion.10. practicality, long-term sustainability and promotion of innovations.11. transferability.12. promotion of waste recovery techniques.13. dissemination of knowledge through training courses and technical publications.14. intensified international cooperation"
buildings,"construction of an environmental education center. construction of an environmental education center with reforestation in app . activities such as educational lectures, workshops and recreational activities will be carried out"
water management,"unraveling the waters: the awakening of a learning community in the micro-basin of the vendinha stream. promote non-formal environmental education in the community belonging to the micro basin of the vendinha creek (villa garcia/ sertãozinho neighborhood), by carrying out collective activities aimed at assessing environmental perception, the sense of local belonging, breaking paradigms, environmental awareness and redefinition of values and socio-environmental attributes fundamental to the conservation of water resources"
waste management,"implementation of municipal selective collection. the city government seeks to establish an agreement with the collectors&#39; cooperative in order to implement selective collection in the municipality. by determination of the public ministry, the city hall must also make ecopoints available (physical locations for voluntary delivery of the material, separated by type and monitored by a trained employee)"
waste recycling,rc reuse. the municipal government of sumaré installed a rubble crushing and separation machine to reuse the material collected by the city (most of which comes from illegal disposal). the crushed material has been used to recover rural roads. the next step now is to increase productivity and start using the crushed material in the production of blocks
transport,"sustainable urban mobility in the canton. a plan that includes promotion of public transport, carpoling, road pacification, etc."
waste management,organic waste management center. construction of an organic waste management center that works for 10% of the population of bethlehem
transport,"urban multiway in old street. construction of the urban multivíafor the construction of the urban multivía in calle vieja, an investment of ¢660,000,000.00 is required, which includes labor, machinery, materials, transportation, contingencies, administrative expenses. the municipality is currently looking for external financing options to cover said amount. the annual operation and maintenance cost of the urban multivía is around 5% of that amount, that is, ¢33,000,000.00"
renewable energy,"solar distributed generation systems. implementation of distributed solar generation systems for the electrical supply of common spaces in residential buildings of the commune, added with a complete replacement of the luminaire of the same common space. with this, optimal levels of energy efficiency are achieved, shortening the return on investment. the total installation of 100 kwp and replacement to led lighting is proposed, where an estimated 80% of the investment is associated with photovoltaic systems and 20% to lighting replacement. this project is based on the success of the 2018 fie calls with 467 applications, many of them complete buildings, where there were only 89 places available. the level of impact and citizen interest is such that prioritization for energy reconversion is required, also following the strategic guidelines that the government and the country have followed in terms of renewable energies. the application of a co-payment leasing model, avoiding a direct investment by the neighbors, since the system is paid with the savings that the same system generates, reducing gaps and avoiding excluding neighbors with economic limitations. during the leasing period, the awarded company manages and maintains the photovoltaic systems. the application in residential buildings exponentially increases the number of beneficiaries, and the parameters that will be considered will be aspects of technical feasibility, available area, pre-existing led luminaire, territorial distribution and order. of inscription."
waste recycling,"electronic recycling program implementation of a permanent service for the collection, treatment and safe final disposal of batteries and recycling of electrical and electronic equipment (weee). since these are considered waste with dangerous substances, it is necessary to manage this waste with companies authorized by the corresponding health authority, in addition to complying with the pladeco in its guideline 4.2.1. promote the reduction, separation and recycling of household solid waste and law 20,920 for waste management, extended producer responsibility and promotion of recycling"
transport,"providencia electric vehicle fleet renewal. acquisition of 11 electric vehicles, positioning the communal electric vehicle fleet and activating a progressive replacement process over time. it is based as one of the mobility goals in the local energy strategy attached to the pladeco (specifically action a7 of electromobility), in the sustainable mobility report, the smart cities lines of action and in the pladeco in guideline 4 of sustainable commune, in order to promote energy efficiency in the commune and reduce the environmental impact of municipal activities. electric vehicles have a series of social and environmental benefits, positioning providencia as a sustainable commune, since they reduce noise, do not emit pollutants and the current market meets comfort standards referring to the minimum needs of the municipal fleet. in addition, its operation is aligned with the new maximum speed standards (50 km/h) and the live streets and innovation lines public space programs. given the positioning of markets and after-sales services, incorporating maintenance and insurance, models are projected of gamma medium load such as the ze line of renault kangoo. additionally, the renewal of charging points is included"
